UserID,TransactionID,Description,Amount,OriginalCategory,PersonalizedCategory
User5,T001,Shipped product to customer,1737.08,Payroll,Workforce Pay
User4,T002,Miscellaneous business expense,1923.6,Advertising,Marketing Ads
User2,T003,Miscellaneous business expense,1829.48,Telecommunications,Communication Bills
User5,T004,Gas for company car,977.22,Telecommunications,Network Costs
User1,T005,Social media marketing campaign,1919.25,Bank Charges,Service Fees
User4,T006,Paid employee health benefits,256.61,Training,Staff Development
User2,T007,Paid corporate income taxes,626.69,Payroll,Wages
User2,T008,Shipped product to customer,242.52,Shipping,Shipping Fees
User4,T009,Paid electricity bill,816.47,Meals and Entertainment,Client Entertainment
User5,T010,Monthly office rent,713.85,Rent,Building Lease
User3,T011,Service charge for wire transfer,123.48,Shipping,Postage
User2,T012,Paid corporate income taxes,1657.26,Telecommunications,Communication Bills
User5,T013,Flight tickets for client visit,216.4,Subscription,Regular Services
User5,T014,Health insurance payment,1435.7,Loan Payment,Loan Charges
User1,T015,Gas for company car,1242.24,Employee Benefits,Staff Perks
User1,T016,Paid corporate income taxes,1308.42,Miscellaneous,Other Expenses
User4,T017,Social media marketing campaign,952.1,Miscellaneous,Other Items
User1,T018,Payroll for employees,878.87,Fuel,Gasoline
User3,T019,Gas for company car,234.83,Consulting Services,Consulting Fees
User1,T020,Accounting software subscription,404.88,Insurance,Protection Plans
User1,T021,Flight tickets for client visit,1680.04,Office Supplies,Stationery
User1,T022,Service charge for wire transfer,1011.19,Travel,Business Travel
User1,T023,Monthly cloud software subscription,392.54,Rent,Lease Payment
User3,T024,Paid electricity bill,1353.7,Rent,Rental Payment
User4,T025,Social media marketing campaign,1966.71,Employee Benefits,Employee Extras
User3,T026,Paid electricity bill,425.91,Meals and Entertainment,Food & Drink
User2,T027,Car loan repayment,1189.22,Shipping,Shipping Fees
User4,T028,Gas for company car,355.81,Credit Card Payment,Card Bill
User4,T029,Shipped product to customer,333.75,Shipping,Freight
User4,T030,Monthly cloud software subscription,1227.89,Telecommunications,Mobile Bills
User3,T031,Paid employee health benefits,1039.56,Shipping,Postage
User5,T032,Payroll for employees,399.14,Bank Charges,Bank Charges
User1,T033,Office building repairs,1579.59,Repairs and Maintenance,Maintenance
User5,T034,Miscellaneous business expense,1708.45,Rent,Building Lease
User1,T035,Paid employee health benefits,1975.43,Employee Benefits,Staff Perks
User3,T036,Monthly cloud software subscription,1704.93,Subscription,Recurring Payments
