TransactionID,Description,Amount,Category
T001,Shipped product to customer,1737.08,Payroll
T002,Miscellaneous business expense,1923.6,Advertising
T003,Miscellaneous business expense,1829.48,Telecommunications
T004,Gas for company car,977.22,Telecommunications
T005,Social media marketing campaign,1919.25,Bank Charges
T006,Paid employee health benefits,256.61,Training
T007,Paid corporate income taxes,626.69,Payroll
T008,Shipped product to customer,242.52,Shipping
T009,Paid electricity bill,816.47,Meals and Entertainment
T010,Monthly office rent,713.85,Rent
T011,Service charge for wire transfer,123.48,Shipping
T012,Paid corporate income taxes,1657.26,Telecommunications
T013,Flight tickets for client visit,216.4,Subscription
T014,Health insurance payment,1435.7,Loan Payment
T015,Gas for company car,1242.24,Employee Benefits
T016,Paid corporate income taxes,1308.42,Miscellaneous
T017,Social media marketing campaign,952.1,Miscellaneous
T018,Payroll for employees,878.87,Fuel
T019,Gas for company car,234.83,Consulting Services
T020,Accounting software subscription,404.88,Insurance
T021,Flight tickets for client visit,1680.04,Office Supplies
T022,Service charge for wire transfer,1011.19,Travel
T023,Monthly cloud software subscription,392.54,Rent
T024,Paid electricity bill,1353.7,Rent
T025,Social media marketing campaign,1966.71,Employee Benefits
T026,Paid electricity bill,425.91,Meals and Entertainment
T027,Car loan repayment,1189.22,Shipping
T028,Gas for company car,355.81,Credit Card Payment
T029,Shipped product to customer,333.75,Shipping
T030,Monthly cloud software subscription,1227.89,Telecommunications
T031,Paid employee health benefits,1039.56,Shipping
T032,Payroll for employees,399.14,Bank Charges
T033,Office building repairs,1579.59,Repairs and Maintenance
T034,Miscellaneous business expense,1708.45,Rent
T035,Paid employee health benefits,1975.43,Employee Benefits
T036,Monthly cloud software subscription,1704.93,Subscription
T037,Health insurance payment,1322.84,Credit Card Payment
T038,Shipped product to customer,1469.54,Rent
T039,Payroll for employees,913.78,Repairs and Maintenance
T040,Gas for company car,306.0,Travel
T041,Payroll for employees,1612.65,Consulting Services
T042,Paid corporate income taxes,600.54,Travel
T043,Gas for company car,1795.97,Loan Payment
T044,Office building repairs,686.61,Advertising
T045,Paid electricity bill,889.69,Employee Benefits
T046,Paid corporate income taxes,261.95,Credit Card Payment
T047,Paid electricity bill,1601.66,Telecommunications
T048,Legal fee for contract review,269.37,Payroll
T049,Flight tickets for client visit,1369.46,Consulting Services
T050,Health insurance payment,352.79,Marketing
T051,Mobile phone and internet bill,1746.01,Software
T052,Flight tickets for client visit,1085.09,Miscellaneous
T053,Shipped product to customer,1295.77,Meals and Entertainment
T054,Social media marketing campaign,1582.87,Utilities
T055,Car loan repayment,567.52,Utilities
T056,Flight tickets for client visit,354.4,Taxes
T057,Legal fee for contract review,635.0,Miscellaneous
T058,Purchased office chairs,339.32,Consulting Services
T059,Gas for company car,96.5,Meals and Entertainment
T060,Consulting service fee,303.52,Professional Services
T061,Mobile phone and internet bill,1977.26,Credit Card Payment
T062,Monthly cloud software subscription,1431.82,Insurance
T063,Flight tickets for client visit,1297.59,Advertising
T064,Monthly cloud software subscription,486.12,Rent
T065,Car loan repayment,417.48,Loan Payment
T066,Health insurance payment,298.13,Office Supplies
T067,Monthly cloud software subscription,1078.11,Bank Charges
T068,Monthly cloud software subscription,1633.58,Miscellaneous
T069,Car loan repayment,1790.41,Shipping
T070,Accounting software subscription,253.38,Subscription
T071,Shipped product to customer,1501.85,Marketing
T072,Service charge for wire transfer,270.36,Advertising
T073,Accounting software subscription,558.41,Bank Charges
T074,Accounting software subscription,1548.78,Loan Payment
T075,Credit card balance payment,215.58,Professional Services
T076,Flight tickets for client visit,1313.95,Bank Charges
T077,Flight tickets for client visit,1052.81,Taxes
T078,Accounting software subscription,1364.34,Marketing
T079,Monthly office rent,556.5,Loan Payment
T080,Shipped product to customer,1577.76,Subscription
T081,Social media marketing campaign,1760.54,Miscellaneous
T082,Google Ads campaign,1432.4,Meals and Entertainment
T083,Payroll for employees,1767.33,Office Supplies
T084,Health insurance payment,1665.92,Advertising
T085,Flight tickets for client visit,1150.48,Utilities
T086,Legal fee for contract review,1337.66,Consulting Services
T087,Employee training session,1742.94,Rent
T088,Employee training session,315.15,Taxes
T089,Monthly cloud software subscription,1553.34,Miscellaneous
T090,Paid employee health benefits,125.66,Employee Benefits
T091,Miscellaneous business expense,1007.49,Office Supplies
T092,Office building repairs,1255.5,Legal Services
T093,Monthly cloud software subscription,1226.65,Employee Benefits
T094,Paid corporate income taxes,346.94,Telecommunications
T095,Lunch with client,1131.86,Rent
T096,Consulting service fee,1009.89,Subscription
T097,Google Ads campaign,1706.27,Marketing
T098,Flight tickets for client visit,1097.96,Travel
T099,Mobile phone and internet bill,995.78,Credit Card Payment
T100,Employee training session,422.74,Training
