TransactionID,Description,Amount,Category
T001,Business trip flight,232.67,
T002,Paid electricity bill,398.71,
T003,Paid property tax,2945.51,
T004,Online course enrollment,4600.92,
T005,Paid parking ticket,335.29,
T006,Hotel stay for business trip,54.22,
T007,Shipped product to customer,495.98,
T008,Salaries for contractors,2016.05,
T009,Consulting service fee,3847.24,
T010,Business trip flight,4421.33,
T011,IT equipment maintenance,1947.65,
T012,Online course enrollment,1235.4,
T013,Employee travel reimbursement,3754.54,
T014,Shipped product to customer,2265.39,
T015,Paid legal fees,4263.44,
T016,Phone service bill,3900.27,
T017,Paid employee healthcare benefits,2210.64,
T018,Business trip flight,4106.15,
T019,Dinner meeting,2412.72,
T020,Purchased office chairs,216.08,
T021,Paid electricity bill,2812.61,
T022,Paid corporate income taxes,958.91,
T023,Subscription to accounting software,264.43,
T024,Hotel stay for business trip,3255.98,
T025,Product prototype development cost,2211.03,
T026,Gas for company car,1771.25,
T027,Paid loan interest,4174.11,
T028,Uber ride,296.23,
T029,Sales tax payment,3604.55,
T030,Hotel stay for business trip,2409.73,
T031,Reimbursement for business lunch,3609.73,
T032,Shipped product to customer,848.26,
T033,Renewed annual business insurance,4215.56,
T034,Gas for company car,197.32,
T035,Salaries for contractors,4691.77,
T036,Gas for company car,3239.01,
T037,Paid electricity bill,482.37,
T038,Uber ride,4500.83,
T039,Subscription to accounting software,4651.81,
T040,Paid consulting invoice,3921.11,
T041,Shipped office equipment,2974.11,
T042,Sales tax payment,2423.53,
T043,IT equipment maintenance,1918.46,
T044,Salaries for contractors,2603.74,
T045,Paid loan interest,1295.43,
T046,Dinner meeting,4270.45,
T047,Shipped product to customer,4491.55,
T048,Consulting service fee,1942.51,
T049,Office building cleaning service,770.79,
T050,Subscription to accounting software,4399.75,
T051,Business workshop attendance fee,3036.61,
T052,Client gift,3797.79,
T053,Paid corporate income taxes,4466.77,
T054,Paid loan interest,522.44,
T055,Paid consulting invoice,390.56,
T056,Sales tax payment,2628.13,
T057,Paid corporate income taxes,410.06,
T058,Reimbursement for business lunch,4043.04,
T059,Team building event cost,4973.0,
T060,Business trip flight,2891.58,
T061,Paid parking ticket,3001.96,
T062,Product prototype development cost,654.84,
T063,Car rental for business,4699.12,
T064,IT equipment maintenance,1267.87,
T065,Gas for company car,260.36,
T066,Subscription to accounting software,3375.27,
T067,Paid employee wages,1554.05,
T068,Business trip flight,1612.98,
T069,Website redesign,304.28,
T070,Car rental for business,4340.5,
T071,Credit card balance payment,2351.53,
T072,Paid loan interest,1897.85,
T073,Employee travel reimbursement,779.06,
T074,Paid electricity bill,1472.9,
T075,Sales tax payment,1597.58,
T076,Phone service bill,1724.93,
T077,Shipping fee for customer order,3229.41,
T078,Monthly office rent,3497.19,
T079,Product prototype development cost,1847.55,
T080,Credit card balance payment,238.07,
T081,Hotel stay for business trip,730.77,
T082,Monthly office rent,304.1,
T083,Paid corporate income taxes,1550.26,
T084,Website redesign,3926.01,
T085,Shipped office equipment,4143.37,
T086,Legal consultation fee,4851.05,
T087,Shipped product to customer,3131.01,
T088,Business workshop attendance fee,1407.58,
T089,Shipping fee for customer order,2217.33,
T090,Dinner meeting,1711.73,
T091,Paid employee healthcare benefits,2910.67,
T092,Bought office supplies,1469.19,
T093,Monthly office rent,2299.9,
T094,Team building event cost,2922.68,
T095,Paid income tax,2758.57,
T096,Lunch with client,2234.21,
T097,Hotel stay for business trip,3856.69,
T098,Vendor payment,2131.83,
T099,Renewed software license,4490.86,
T100,Shipped product to customer,1841.97,
